gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
TBX18,-0.011685624026283358,-0.39819671541976354,0.6905583985448711,0.15525301,0.17127307,0.951466150071778,60
ING5,-0.011684333475358676,-0.3981527328895918,0.6905908080391052,0.1825835,0.19168,0.951466150071778,60
LSP1,-0.011676055408721499,-0.397870612868123,0.690798707882299,0.16405341,0.17280343,0.951466150071778,60
CFD,-0.011672609226718016,-0.3977531655481476,0.6908852640292279,0.16828349,0.18798621,0.951466150071778,60
OR10G6,-0.011670012830376468,-0.3976646792873136,0.6909504791717705,0.18445106,0.18622138,0.951466150071778,60
HCN1,-0.011667092251238844,-0.39756514475236554,0.6910238397327344,0.16577342,0.19149466,0.951466150071778,60
SPAST,-0.011666189662311185,-0.39753438415355336,0.6910465119969813,0.17928915,0.1826968,0.951466150071778,60
SOS2,-0.011661235051077858,-0.3973655289990895,0.6911709725348903,0.06835893,0.069572896,0.9514829308540499,60
CALML6,-0.011657528713732811,-0.3972392155426762,0.6912640817056864,-0.01364684,-0.02190147,0.9514829308540499,60
SERPINF1,-0.011649843732310117,-0.39697730835985967,0.6914571556892446,0.12007101,0.12779833,0.951487726805175,60
SIPA1L2,-0.011641984084102759,-0.3967094485372454,0.6916546386478866,0.16838573,0.16303426,0.951487726805175,60
GLIPR1,-0.011633403345682797,-0.39641701376784083,0.6918702637687423,0.09848906,0.09092291,0.951487726805175,60
NIPSNAP1,-0.01162952354388408,-0.39628478870257905,0.6919677673853534,0.08688733,0.09223288,0.951487726805175,60
TAF11,-0.011625591191032585,-0.39615077269647136,0.6920665968705593,-0.06526126,-0.07470354,0.951487726805175,60
GAST,-0.011623176785308385,-0.3960684888860702,0.6921272792885892,0.18943976,0.19586198,0.951487726805175,60
GREM1,-0.011618214947780313,-0.39589938771065475,0.6922519937294817,0.08241377,0.10550737,0.951487726805175,60
ZNF334,-0.011615378066583736,-0.39580270581066734,0.6923233017139379,0.30586097,0.31005222,0.951487726805175,60
RAD51C,-0.01161448197992628,-0.39577216686703265,0.6923458263580476,-0.64008397,-0.6499532,0.951487726805175,60
RHOQ,-0.011606898868651232,-0.39551373184663646,0.6925364514823481,-0.6992466,-0.6689309,0.9515938629048291,60
ARFIP1,-0.011606054978147595,-0.3954849717744708,0.6925576665018429,0.18995683,0.20024583,0.9515938629048291,60
CD160,-0.011603238959824456,-0.3953890009291016,0.6926284616513051,0.055217758,0.08047113,0.9515938629048291,60
TCP1,-0.011594517162870447,-0.3950917592343825,0.6928477460280059,-1.699802,-1.7068248,0.9516401331555443,60
PCNX1,-0.011583681157219127,-0.39472246474092987,0.693120221878156,0.11208358,0.12602404,0.9516401331555443,60
NRM,-0.01157726100464616,-0.39450366398006453,0.6932816779798623,0.09284191,0.09209267,0.9516401331555443,60
TOM1L1,-0.011577189363625597,-0.3945012224324747,0.693283479710229,0.08023031,0.07916235,0.9516401331555443,60
ATP6V1C2,-0.011575334184632847,-0.3944379973749418,0.6933301369955831,0.17666708,0.18172103,0.9516401331555443,60
QRSL1,-0.011571821736392068,-0.39431829209460273,0.6934184773669234,-0.36214885,-0.35613412,0.9516401331555443,60
PPP2R5C,-0.011570461754401263,-0.3942719435079377,0.6934526829216122,0.0008983724,-0.0026456115,0.9516401331555443,60
ZNF771,-0.011562820757523292,-0.3940115361252825,0.6936448768713481,-0.012631721,-0.0020602902,0.9516401331555443,60
GATM,-0.011561103350331139,-0.3939530064011653,0.693688077514121,0.09399523,0.10929791,0.9516401331555443,60
CIAO1,-0.01155997808343426,-0.39391465698811623,0.6937163836604002,-1.3073764,-1.3760154,0.9516401331555443,60
CBS,-0.011556285643812,-0.39378881761543433,0.6938092701656832,0.14735112,0.14405993,0.9516401331555443,60
LYPD6,-0.011555337125359387,-0.3937564918444915,0.6938331317076901,0.09835184,0.11106807,0.9516401331555443,60
CHRND,-0.011554942307181943,-0.3937430363322284,0.6938430640977864,-0.027985377,-0.014412442,0.9516401331555443,60
MC1R,-0.011552468156935707,-0.3936587166143801,0.6939053071730518,0.15403928,0.15058015,0.9516401331555443,60
NDUFV1,-0.011551651995516348,-0.3936309016113183,0.6939258400877161,-0.26029128,-0.22501679,0.9516401331555443,60
NEU1,-0.0115436962134644,-0.39335976643725523,0.6941260026807246,0.050855085,0.0663415,0.9518165573239978,60
GPBP1,-0.011540962464761113,-0.39326659956963167,0.6941947870399208,0.021211822,0.013397751,0.9518404438502975,60
SOX12,-0.011532881632923925,-0.3929912027680847,0.6943981250578461,0.26240823,0.25802004,0.9520204078461879,60
TPST1,-0.011526913916899022,-0.3927878215395903,0.6945483048329824,0.08398635,0.08885973,0.9520369181792204,60
USP53,-0.01152506022052957,-0.3927246471203814,0.6945949562237904,0.12592886,0.12748295,0.9520369181792204,60
SPATA24,-0.011522063994923053,-0.3926225350378645,0.6946703637296687,0.087332584,0.10360297,0.9520698550606088,60
ZFP91,-0.011516322691797523,-0.39242687008903765,0.6948148664027368,0.031179555,0.031757552,0.9521574142118734,60
SNX15,-0.011515442761406959,-0.3923968818596448,0.6948370143212543,0.055722054,0.06747523,0.9521574142118734,60
FAM174A,-0.011505351072960085,-0.3920529548695025,0.6950910415248269,0.15855056,0.15861472,0.9523623733721475,60
TMC2,-0.0115033759929965,-0.391985643718427,0.6951407620868634,0.09996368,0.10635344,0.9523623733721475,60
SLC22A13,-0.011493950086083038,-0.39166440684135456,0.695378067419124,0.059503574,0.07810757,0.9523897899771663,60
EMX1,-0.011489139750167751,-0.39150046962853197,0.6954991832597347,0.06991304,0.06624853,0.9523897899771663,60
TMCC2,-0.011486250666220568,-0.3914020090812032,0.6955719290675607,0.13222107,0.1285391,0.9523897899771663,60
