gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
MRPL2,-0.03527576419344598,-1.20271554034358,0.2293316352484398,-0.38987362,-0.34652853,0.6624699193747214,118
SLC26A1,-0.03525557876745031,-1.2020264681733155,0.22959838708566263,0.18817586,0.20631659,0.6626041034444122,118
FAM234A,-0.03525060581657993,-1.2018567062131686,0.22966413881730396,0.1684573,0.17684266,0.6626041034444122,118
TUBGCP5,-0.03524064807779153,-1.201516778479464,0.22979583899972242,-1.0227555,-0.9865976,0.6626745553227289,118
DVL3,-0.03523394347698063,-1.2012879034509536,0.22988454368092875,0.014150255,0.04465498,0.6627047193352327,118
TNFRSF13C,-0.03523011411870572,-1.201157180680052,0.22993521860914837,0.2301965,0.2414538,0.6627047193352327,118
NPAP1,-0.03522655103868249,-1.2010355478951424,0.22998237693121895,0.1852447,0.20040889,0.6627047193352327,118
ARID3B,-0.035226344650925945,-1.2010285024422114,0.22998510873913341,-0.05793637,-0.037069652,0.6627047193352327,118
TNFRSF10C,-0.035213343477593806,-1.200584682070804,0.23015724247940264,0.23129685,0.23935968,0.6629492431211077,118
LMNTD2,-0.03521131073138895,-1.2005152903755163,0.2301841640271997,0.15783007,0.17279038,0.6629492431211077,118
WWP1,-0.03520022018123951,-1.2001366934111453,0.2303310858776661,0.086135454,0.09055214,0.6631860398382583,118
MRPS31,-0.035181207375526324,-1.199487656260095,0.2305831125542593,-0.42561477,-0.36410767,0.6633800919179715,118
OSTF1,-0.035177224402496036,-1.199351690302947,0.23063593415373185,0.1997183,0.21459378,0.6633800919179715,118
KRTAP13-2,-0.03516416477466093,-1.1989058767896597,0.23080918925980912,0.1002918,0.11643845,0.6633800919179715,118
